<LINE 1>
Injongo	i[NPrePre9]-n[BPre9]-jongo[NStem]
nqo	nqo[Ideoph]
.	.[Punc]
<LINE 6>
Imiba	i[NPrePre4]-mi[BPre4]-ba[NStem]
echatshazelwa	e[RelConc4]-chaphazel[VRoot]-w[PassExt]-a[VerbTerm]
yinkcazelo	y[CopPre]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
ekwi-website	e[LocPre]-ku[LocPre]-i[NPrePre9]-website[Foreign]
<LINE 7>
Inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
zikarhulumente	zi[PossConc10]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
<LINE 8>
I-website	i[NPrePre9]-website[Foreign]
iqulathe	i[SC9]-qulath[VRoot]-e[VerbTerm]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
zikarhulumente	zi[PossConc10]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
ezinikwa	ezi[RelConc10]-nik[VRoot]-w[PassExt]-a[VerbTerm]
kwinqanaba	ku[LocPre]-i[NPrePre5]-li[BPre5]-nqanaba[NStem]
likarhulumente	li[PossConc5]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
welizwe	wa[PossConc1]-i[NPrePre5]-li[BPre5]-zwe[NStem]
.	.[Punc]
<LINE 9>
Inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
yeenkonzo	ya[PossConc9]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
yahlulahlulwe	i[SC9]-ahlulahlul[VRoot]-w[PassExt]-e[VerbTerm]
yangamacandelo	i[SC9]-a[Past]-ng[CopPre]-a[NPrePre6]-ma[BPre6]-candelo[NStem]
aziintlobo	a[RelConc6]-z[CopPre]-i[NPrePre10]- zin[BPre10]-tlobo[NStem]
zeenkonzo	za[PossConc10]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ezintathu	ezin[AdjPref10]-thathu[AdjStem]
:	:[Punc]
<LINE 10>
Iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
zabantu	za[PossConc10]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
:	:[Punc]
iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
zabemi	za[PossConc10]-a[NPrePre2]-be[BPre2]-mi[NStem]
baseMzantsi	ba[PossConc2]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
eziququzelelwe	ezi[RelConc10]-ququzel[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
ngokweziganeko	nga[AdvPre]-okwa[AdvPre]-i[NPrePre8]-zi[BPre8]-ganeko[NStem]
zobomi	za[PossConc8]-u[NPrePre14]-bu[BPre14]-bomi[NStem]
<LINE 11>
Iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
zemibutho	za[PossConc10]-i[NPrePre4]-mi[BPre4]-butho[NStem]
:	:[Punc]
iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
ezingqamene	ezi[RelConc10]-ngqamen[VRoot]-e[VerbTerm]
nemibutho	na[AdvPre]-i[NPrePre4]-mi[BPre4]-butho[NStem]
kunye	kunye[Conj]
namashishini	na[AdvPre]-a[NPrePre6]-ma[BPre6]-shishini[NStem]
<LINE 12>
Iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
zabantu	za[PossConc10]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
bamazwe	ba[PossConc2]-a[NPrePre6]-ma[BPre6]-zwe[NStem]
angaphandle	a[RelConc6]-nga[AdvPre]-phandle[Adv]
:	:[Punc]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
engqaliselwe	e[RelConc9]-ngqal[VRoot]-is[CausExt]-el[ApplExt]-w[PassExt]-e[VerbTerm]
abemi	a[NPrePre2]-be[BPre2]-mi[NStem]
abaphuma	aba[RelConc2]-phum[VRoot]-a[VerbTerm]
kwamanye	ku[LocPre]-ama[AdjPref6]-nye[AdjStem]
amazwe	a[NPrePre6]-ma[BPre6]-zwe[NStem]
abadinga	aba[RelConc2]-ding[VRoot]-a[VerbTerm]
iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
ezibandakanyekayo	ezi[RelConc10]-bandakany[VRoot]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
kurhulumente	ku[LocPre]-u[NPrePre1a]-rhulumente[NStem]
waseMzantsi	wa[PossConc1a]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
.	.[Punc]
<LINE 13>
Icandelo	i[NPrePre5]-li[BPre5]-candelo[NStem]
ngalinye	nga[AdvPre]-li[EnumConc5]-nye[EnumStem]
kula	ku[LocPre]-la[Dem6][Pos1]
liphinde	li[SC5]-phind[VRoot]-e[VerbTerm]
lakhiwa	li[SC5]-a[Past]-akh[VRoot]-iw[PassExt]-a[VerbTerm]
ngohlobo	nga[AdvPre]-u[NPrePre11]-lu[BPre11]-hlobo[NStem]
oluhambisana	olu[RelConc11]-hamb[VRoot]-is[CausExt]-an[RecipExt]-a[VerbTerm]
nendlela	na[AdvPre]-i[NPrePre9]-n[BPre9]-dlela[NStem]
yokulandelelana	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-landel[VRoot]-el[ApplExt]-an[RecipExt]-a[VerbTerm]
kweziganeko	kwa[PossConc15]-i[NPrePre8]-zi[BPre8]-ganeko[NStem]
zobomi	za[PossConc10]-u[NPrePre14]-bu[BPre14]-bomi[NStem]
(	([Punc]
iziganeko	i[NPrePre8]-zi[BPre8]-ganeko[NStem]
ezineempawu	ezi[RelConc8]-na[AdvPre]-i[NPrePre10]-zim[BPre10]-pawu[NStem]
ezithile	ezi[RelConc10]-th[VRoot]-ile[Perf]
kubomi	ku[LocPre]-u[NPrePre14]-bu[BPre14]-bomi[NStem]
bommi	ba[PossConc14]-u[NPrePre1]-m[BPre1]-mi[NStem]
okanye	okanye[Conj]
beshishini	ba[PossConc14]-i[NPrePre5]-li[BPre5]-shishini[NStem]
)	)[Punc]
.	.[Punc]
<LINE 14>
Iziganeko	i[NPrePre8]-zi[BPre8]-ganeko[NStem]
zobomi	za[PossConc8]-u[NPrePre14]-bu[BPre14]-bomi[NStem]
ziphinda	zi[SC8]-phind[VRoot]-a[VerbTerm]
zahlulahlulwe	zi[SC8]-ahlulahlul[VRoot]-w[PassExt]-e[VerbTerm]
ngokwezigaba	nga[AdvPre]-okwa[AdvPre]-i[NPrePre8]-zi[BPre8]-gaba[NStem]
zobomi	za[PossConc8]-u[NPrePre14]-bu[BPre14]-bomi[NStem]
.	.[Punc]
<LINE 15>
Inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
kwinkonzo	ku[LocPre]-i[NPrePre9]-n[BPre9]-konzo[NStem]
nganye	nga[AdvPre]-nye[EnumStem]
ilungiselelwe	i[SC9]-lungis[VRoot]-el[ApplExt]-el[ApplExt]-w[PassExt]-e[VerbTerm]
ngokwemiba	nga[AdvPre]-okwa[AdvPre]-i[NPrePre4]-mi[BPre4]-ba[NStem]
esisiseko	esi[RelConc7]-i[NPrePre7]-si[BPre7]-seko[NStem]
esixhenxe	e[RelConc4]-i[NPrePre7]-si[BPre7]-xhenxe[RelStem]
,	,[Punc]
eyile	e[RelConc4]-yi[CopPre]-le[Dem4][Pos1]
:	:[Punc]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
,	,[Punc]
inkqubo	i[NPrePre9]-n[BPre9]-kqubo[NStem]
emayilandelwe	e[RelConc9]-ma[ImpPre]-yi[SC9]-landel[VRoot]-w[PassExt]-e[VerbTerm]
,	,[Punc]
imithetho	i[NPrePre4]-mi[BPre4]-thetho[NStem]
esetyenziswayo	e[RelConc4]-sebenz[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]-yo[RelSuf]
,	,[Punc]
ixesha	i[NPrePre5]-li[BPre5]-xesha[NStem]
elithatyathwayo	eli[RelConc5]-thabath[VRoot]-w[PassExt]-a[VerbTerm]-yo[RelSuf]
kunye	kunye[Conj]
nomgangatho	na[AdvPre]-u[NPrePre3]-m[BPre3]-gangatho[NStem]
ofikelelwayo	o[RelConc3]-fikelel[VRoot]-w[PassExt]-a[VerbTerm]-yo[RelSuf]
,	,[Punc]
iindleko	i[NPrePre10]-zin[BPre10]-dleko[NStem]
,	,[Punc]
iifom	i[NPrePre10]-zi[BPre10]-fom[NStem]
ezigcwaliswayo	ezi[RelConc10]-gcwal[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]-yo[RelSuf]
,	,[Punc]
kunye	kunye[Conj]
neenkcukacha	na[AdvPre]-i[NPrePre10]-zin[BPre10]-kcukacha[NStem]
zonxulumano	za[PossConc10]-u[NPrePre11]-lu[BPre11]-nxulumano[NStem]
.	.[Punc]
<LINE 16>
Inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
eyayameneyo	e[RelConc9]-ya[Pres]-ayam[VRoot]-an[RecipExt]-e[VerbTerm]-yo[RelSuf]
<LINE 17>
Eli	eli[Dem5][Pos1]
candelo	candelo[NStem]
le-website	la[PossConc5]-i[NPrePre5]-website[Foreign]
website	website[Foreign]
,	,[Punc]
eliboniswe	eli[RelConc5]-bon[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
kumgca	ku[LocPre]-u[NPrePre3]-m[BPre3]-gca[NStem]
wokukhangela	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-khangel[VRoot]-a[VerbTerm]
osekunene	o[RelConc3]-s[PreLoc-s]-e[LocPre]-ku[LocPre]-i[NPrePre5]-li[BPre5]-nene[NStem]
,	,[Punc]
liqulathe	li[SC5]-qulath[VRoot]-e[VerbTerm]
unxulumaniso	u[NPrePre11]-lu[BPre11]-nxulumaniso[NStem]
kwii-website	ku[LocPre]-i[NPrePre10]-zi[BPre10]-website[Foreign]
ezayameneyo	ezi[RelConc10]-ayam[VRoot]-an[RecipExt]-e[VerbTerm]-yo[RelSuf]
kweso	ku[LocPre]-eso[Dem7][Pos2]
siganeko	si[BPre7]-ganeko[NStem]
sobomi	sa[PossConc7]-u[NPrePre14]-bu[BPre14]-bomi[NStem]
.	.[Punc]
<LINE 18>
Iilwimi	i[NPrePre10]-zi[BPre10]-lwimi[NStem]
<LINE 19>
Oluhlobo	olu[Dem11][Pos1]-hlobo[NStem]
lwe-webhusayiti	lwa[PossConc11]-i[NPrePre9]-webhusayiti[NStem]
lulungiselelwe	lu[SC11]-lungis[VRoot]-el[ApplExt]-el[ApplExt]-w[PassExt]-e[VerbTerm]
iilwimi	i[NPrePre10]-zi[BPre10]-lwimi[NStem]
ezilishumi	ezi[RelConc10]-l[CopPre]-i[NPrePre5]-li[BPre5]-shumi[RelStem]
elinanye	eli[AdjPref5]-na[AdvPre]-nye[AdjStem]
njengesiNgesi	njenga[AdvPre]-i[NPrePre7]-si[BPre7]-Ngesi[ProperName]
,	,[Punc]
isibhulu	i[NPrePre7]-si[BPre7]-Bhulu[ProperName]
,	,[Punc]
isiNdebele	i[NPrePre7]-si[BPre7]-Ndebele[ProperName]
,	,[Punc]
isiXhosa	i[NPrePre7]-si[BPre7]-Xhosa[ProperName]
,	,[Punc]
isiZulu	i[NPrePre7]-si[BPre7]-Zulu[ProperName]
,	,[Punc]
isiPedi	i[NPrePre7]-si[BPre7]-Pedi[ProperName]
,	,[Punc]
isiSuthu	i[NPrePre7]-si[BPre7]-Suthu[ProperName]
,	,[Punc]
isiTsonga	i[NPrePre7]-si[BPre7]-Tsonga[ProperName]
,	,[Punc]
isiSwati	i[NPrePre7]-si[BPre7]-Swati[ProperName]
,	,[Punc]
isiVenda	i[NPrePre7]-si[BPre7]-Venda[ProperName]
kunye	kunye[Conj]
nesiTswana	na[AdvPre]-i[NPrePre7]-si[BPre7]-Tswana[ProperName]
<LINE 20>
Inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
yenkonzo	ya[PossConc9]-i[NPrePre9]-n[BPre9]-konzo[NStem]
ngokwemvelaphi	nga[AdvPre]-okwa[AdvPre]-i[NPrePre9]-mvelaphi[NStem]
ibhalwe	i[SC9]-bhal[VRoot]-w[PassExt]-e[VerbTerm]
nge-English	nga[AdvPre]-i[NPrePre9]-English[Foreign]
,	,[Punc]
ize	i[SC9]-ze[AuxVStem]
ke	ke[Conj]
emva	e[LocPre]-u[NPrePre3]-m[BPre3]-va[NStem]
koko	kwa[PossConc15]-oko[Dem15][Pos2]
iguqulelwe	i[SC9]-guqul[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
kwezinye	ku[LocPre]-ezi[AdjPref10]-nye[AdjStem]
iilwimi	i[NPrePre10]-zi[BPre10]-lwimi[NStem]
.	.[Punc]
<LINE 21>
Inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
yeenkonzo	ya[PossConc9]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ekwezinye	e[RelConc9]-ku[LocPre]-ezi[AdjPref10]-nye[AdjStem]
iilwimi	i[NPrePre10]-zi[BPre10]-lwimi[NStem]
ifakwa	i[SC9]-fak[VRoot]-w[PassExt]-a[VerbTerm]
kwi-website	ku[LocPre]-i[NPrePre9]-website[Foreign]
emva	e[LocPre]-u[NPrePre3]-m[BPre3]-va[NStem]
kokuba	kwa[PossConc15]-ukuba[Conj]
iguquliwe	i[SC9]-guqul[VRoot]-iw[PassExt]-e[VerbTerm]
.	.[Punc]
<LINE 22>
Ezinye	ezi[AdjPref8]-nye[AdjStem]
izibakala	i[NPrePre8]-zi[BPre8]-bakala[NStem]
ze-website	za[PossConc8]-i[NPrePre9]-website[Foreign]
<LINE 23>
Sebenzisa	sebenz[VRoot]-is[CausExt]-a[VerbTerm]
iphepha	i[NPrePre5]-li[BPre5]-phepha[NStem]
elithi	eli[RelConc5]-th[VRoot]-i[VerbTerm]
Nxulumana	nxuluman[VRoot]-a[VerbTerm]
nathi	na[AdvPre]-thi[AbsPron1pp]
ukuze	ukuze[Conj]
wenze	u[SC1]-enz[VRoot]-e[VerbTerm]
iziphawulo	i[NPrePre8]-zi[BPre8]-phawulo[NStem]
okanye	okanye[Conj]
ubuzise	u[SC1]-buz[VRoot]-is[CausExt]-e[VerbTerm]
nge-website	nga[AdvPre]-i[NPrePre9]-website[Foreign]
yeeNkonzo	ya[PossConc9]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
zikaRhulumente	zi[PossConc10]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
.	.[Punc]
<LINE 24>
Unxulumaniso	u[NPrePre11]-lu[BPre11]-nxulumaniso[NStem]
lwe	lwa[PossConc11]-i[NPrePre9]
www.gov.za	www.gov.za[Foreign]
lufikelelisa	lu[SC11]-fikelel[VRoot]-is[CausExt]-a[VerbTerm]
kwiphepha	ku[LocPre]-i[NPrePre5]-li[BPre5]-phepha[NStem]
lokungena	la[PossConc5]-u[NPrePre15]-ku[BPre15]-ngen[VRoot]-a[VerbTerm]
le-Online	la[PossConc5]-i[NPrePre9]-Online[Foreign]
kaRhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
waseMzantsi	wa[PossConc1]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
,	,[Punc]
elifikelelisa	eli[RelConc5]-fikelel[VRoot]-is[CausExt]-a[VerbTerm]
kule	ku[LocPre]-le[Dem9][Pos1]
webiste	webiste[Foreign]
(	([Punc]
i-website	i[NPrePre9]-website[Foreign]
yeeNkonzo	ya[PossConc9]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
zikaRhulumente	zi[PossConc10]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
)	)[Punc]
kunye	kunye[Conj]
ne-website	na[AdvPre]-i[NPrePre9]-website[Foreign]
yeNkcazelo	ya[PossConc9]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
kaRhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
(	([Punc]
www.info.gov.za	www.info.gov.za[Foreign]
)	)[Punc]
.	.[Punc]
<LINE 25>
Imephu	i[NPrePre9]-mephu[NStem]
yesiza	ya[PossConc9]-i[NPrePre7]-si[BPre7]-za[NStem]
ilumelo	i[CopPre]-lu[CopPre]-melo[NStem]
lwembonakalo	lwa[PossConc11]-i[NPrePre9]-n[BPre9]-bonakalo[NStem]
yamehlo	ya[PossConc9]-a[NPrePre6]-ma[BPre6]-ihlo[NStem]
yolwakhiwo	ya[PossConc9]-u[NPrePre11]-lu[BPre11]-akhiwo[NStem]
nocwangciso	na[AdvPre]-u[NPrePre11]-lu[BPre11]-cwangciso[NStem]
lwe-website	lwa[PossConc11]-i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 26>
Inikezelwa	i[SC9]-nikezel[VRoot]-w[PassExt]-a[VerbTerm]
ngokokulandelelana	nga[AdvPre]-oko[AdvPre]-u[NPrePre15]-ku[BPre15]-landel[VRoot]-el[ApplExt]-an[RecipExt]-a[VerbTerm]
kobume	kwa[PossConc15]-u[NPrePre14]-bu[BPre14]-me[NStem]
nogunyaziso	na[AdvPre]-u[NPrePre11]-lu[BPre11]-gunyaziso[NStem]
,	,[Punc]
nto	n[BPre9]-to[NStem]
leyo	leyo[Dem9][Pos2]
ecubungula	e[RelConc9]-cubungul[VRoot]-a[VerbTerm]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
yesiza	ya[PossConc9]-i[NPrePre7]-si[BPre7]-za[NStem]
ibeyimiba	i[SC9]-be[VCop]-y[CopPre]-i[NPrePre4]-mi[BPre4]-ba[NStem]
yezihloko	ya[PossConc4]-i[NPrePre8]-zi[BPre8]-hloko[NStem]
ezingqaliseka	ezi[RelConc8]-ngqal[VRoot]-is[CausExt]-ek[NeutExt]-a[VerbTerm]
ngokwandayo	nga[AdvPre]-oku[RelConc15]-and[VRoot]-a[VerbTerm]-yo[RelSuf]
.	.[Punc]
<LINE 27>
Ngoko	nga[AdvPre]-oko[Dem15][Pos2]
ke	ke[Conj]
iyakunceda	i[SC4]-ya[Fut]-ku[InfPre]-nced[VRoot]-a[VerbTerm]
ukwazi	u[SC1]-ku[BPre15]-az[VRoot]-i[VerbTerm]
ukuzifundisa	u[NPrePre15]-ku[BPre15]-zi[OC10]-fund[VRoot]-is[CausExt]-a[VerbTerm]
malunga	malunga[Adv]
nendlela	na[AdvPre]-i[NPrePre9]-n[BPre9]-dlela[NStem]
ekucwangciswe	e[RelConc9]-ku[SCIndef]-cwangcis[VRoot]-w[PassExt]-e[VerbTerm]
ngayo	nga[AdvPre]-yo[PronStem4]
imiba	i[NPrePre4]-mi[BPre4]-ba[NStem]
equlathwe	e[RelConc4]-qulath[VRoot]-w[PassExt]-e[VerbTerm]
kwi-website	ku[LocPre]-i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 28>
Iphepha	i[NPrePre5]-li[BPre5]-phepha[NStem]
